identifiant,password,nomDeNaissance,prenom,secondPrenom,titre,Gender,email,telephone,birthdate,AAAA,MM,JJ,departementDeNaissance,codeCommune,regionDeNaissance,codePaysDeNaissance,adresseFormatee,siren,siret,serviceAffectation,populationAppartenance,position,job,createdAt,updatedAt
56120,Portalis.1,DELESTABLE,Marie,,,female,Marie-claire.guillermic@justice.gouv.fr,0681188643,1988-02-17,1988,02,17,,31555,,99100,,,,,,,,,
41235678904,recettepju,DELPIERRE,Laurent,,,male,ex.laura.siewe@justice.gouv.fr,0612345678,1970-05-22,1970,05,22,,31555,,99100,,,,,,,,,
124578,recettepju,LAGRANGE,Cécile,,,,ex.laura.siewe@justice.gouv.fr,0612345678,1964-06-14,1964,06,14,,31555,,99100,,,,,,,,,
235689,recettepju,FOURMONT,Jean-Pierre,,,,ex.laura.siewe@justice.gouv.fr,0612345678,1969-06-12,1969,06,12,,31555,,99100,,,,,,,,,
784512,recettepju,CARPETTE,Bernard,,,,ex.laura.siewe@justice.gouv.fr,0612345678,1984-02-05,1984,02,05,,31555,,99100,,,,,,,,,
859612,recettepju,COUETTE,Aurélie,,,,ex.laura.siewe@justice.gouv.fr,0612345678,1983-02-07,1983,02,07,,31555,,99100,,,,,,,,,
258694,recettepju,LEVELO,Gaspard,,,male,laura.siewe@externes.justice.gouv.fr,0652546598,1979-01-02,1979,01,02,,31555,,99100,,,,,,,,,
258695,recettepju,SQUASH,Michelle,,,female,laura.siewe@externes.justice.gouv.fr,0612345678,1972-04-14,1972,04,14,,31555,,99100,,,,,,,,,
258696,recettepju,ALERTE,Marvin,,,male,laura.siewe@externes.justice.gouv.fr,0612345679,1973-04-14,1973,04,14,,31555,,99100,,,,,,,,,
258697,recettepju,DESVIGNES,Pierre,,,male,laura.siewe@externes.justice.gouv.fr,0612345680,1974-04-14,1974,04,14,,31555,,99100,,,,,,,,,
258698,recettepju,D'ORLEANS,Jean-Christophe,,,male,laura.siewe@externes.justice.gouv.fr,0612345681,1975-04-14,1975,04,14,,31555,,99100,,,,,,,,,
258699,recettepju,DUROC,Geneviève,,,female,laura.siewe@externes.justice.gouv.fr,0612345682,1976-04-14,1976,04,14,,31555,,99100,,,,,,,,,
258700,recettepju,FRANCO,Bénito,,,male,laura.siewe@externes.justice.gouv.fr,0612345683,1977-04-14,1977,04,14,,31555,,99100,,,,,,,,,
258701,recettepju,LAPORTE,Gérard,,,male,laura.siewe@externes.justice.gouv.fr,0612345684,1978-04-14,1978,04,14,,31555,,99100,,,,,,,,,
258702,recettepju,MONVOISIN,Jules,,,male,laura.siewe@externes.justice.gouv.fr,0612345685,1979-04-14,1979,04,14,,,,99100,,,,,,,,,
258703,recettepju,NUMERO,Ernest,,,male,laura.siewe@externes.justice.gouv.fr,0612345686,1980-04-14,1980,04,14,,,,99100,,,,,,,,,
258704,recettepju,ROBIN,Jean-Marc,,,male,laura.siewe@externes.justice.gouv.fr,0612345687,1981-04-14,1981,04,14,,,,99100,,,,,,,,,
258705,recettepju,TODAY,Natacha,,,female,laura.siewe@externes.justice.gouv.fr,0612345688,1982-04-14,1982,04,14,,,,99100,,,,,,,,,
258706,recettepju,UNE-DE-PLUS,Anne-Marie,,,female,laura.siewe@externes.justice.gouv.fr,0612345689,1983-04-14,1983,04,14,,,,99100,,,,,,,,,
265497,recettepju,MONVOISIN,Jonathan,,,male,laura.siewe@externes.justice.gouv.fr,0612345690,1980-01-01,1980,01,01,,,,99101,,,,,,,,,
265666,recettepju,TEST1,TestFC,,,male,laura.siewe@externes.justice.gouv.fr,0612345690,1984-01-01,1984,01,01,,,,99101,,,,,,,,,
265777,recettepju,TEST2,TestFC1,,,female,laura.siewe@externes.justice.gouv.fr,0612345680,1984-01-01,1984,01,01,,,,99101,,,,,,,,,
265888,recettepju,TEST3,TestFC3,,,male,laura.siewe@externes.justice.gouv.fr,0612345670,1984-01-01,1984,01,01,,,,99101,,,,,,,,,
265999,recettepju,TEST4,TestFC4,,,female,laura.siewe@externes.justice.gouv.fr,0612345660,1984-01-01,1984,01,01,,,,99101,,,,,,,,,
5121,recettepju,SATI,Créancier 1,,,female,laura.siewe@externes.justice.gouv.fr,,1984-01-01,1984,01,01,,,,99101,,,,,,,,,
5122,recettepju,SATI,Créancier 2,,,female,laura.siewe@externes.justice.gouv.fr,,1984-01-01,1984,01,01,,,,99101,,,,,,,,,
5123,recettepju,SATI,Débiteur 1,,,female,laura.siewe@externes.justice.gouv.fr,,1984-01-01,1984,01,01,,,,99101,,,,,,,,,
214569,recettepju,AUTEURA,Henri,,,male,ex.laura.siewe@justice.gouv.fr,0623600543,1995-05-02,1995,05,02,,,31555,99100,,,,,,,,,
128654,recettepju,VICTIMOS,Odile,,,female,ex.laura.siewe@justice.gouv.fr,0623600543,1992-06-12,1992,06,12,,,31555,99100,,,,,,,,,
2015487,recettepju,REQUETA,Jean-Pierre,,,male,ex.laura.siewe@justice.gouv.fr,0623600543,1975-05-20,1975,05,20,,,31555,99100,,,,,,,,,
14578210,recettepju,REQUETE-BAI,Léa,,,female,ex.laura.siewe@justice.gouv.fr,0623600543,1975-05-20,1975,05,20,,,31555,99100,,,,,,,,,
12,recettepju,REQUETE-CET,Ivan,,,male,Claire.leroy@justice.gouv.fr,0623600543,1999-05-13,1999,05,13,,,31555,99100,,,,,,,,,
13,recettepju,AUTEURBAI,Alain,,,male,Claire.leroy@justice.gouv.fr,0623600543,1969-07-08,1969,07,08,,,31555,99100,,,,,,,,,
14,recettepju,REPRESENTANT-LEGALA,Charlotte,,,female,Claire.leroy@justice.gouv.fr,0623600543,1970-05-12,1970,05,12,,,31555,99100,,,,,,,,,
15,recettepju,MINORA,Georges,,,male,Claire.leroy@justice.gouv.fr,0623600543,1971-05-10,1971,05,10,,,31555,99100,,,,,,,,,
16,recettepju,LEGALI,Jeanne,,,female,Claire.leroy@justice.gouv.fr,0623600543,1970-05-12,1970,05,12,,,31555,99100,,,,,,,,,
17,recettepju,MINORA (mineur),Marc,,,male,Guillaume.auve@talan.com,,2003-05-20,2003,05,20,,,31555,99100,,,,,,,,,
18,recettepju,MINORBAI (mineur),Boris,,,male,Claire.leroy@justice.gouv.fr,,2002-01-01,2002,01,01,,,31555,99100,,,,,,,,,
258706,recettepju,UNE-DE-PLUS,Anne-Marie,,,female,laura.siewe@externes.justice.gouv.fr,0612345689,1983-04-14,1983,04,14,,,,99100,,,,,,,,,
20,recettepju,PPAUTEUR-A,Paul,,,male,Claire.leroy@justice.gouv.fr,,1970-11-27,1970,11,27,,,31555,99100,,,,,,,,,
21,recettepju,PPAUTEUR-B,Prénom-Etr-B,,,male,Claire.leroy@justice.gouv.fr,0623600545,1970-11-20,1970,11,20,,,31555,99100,,,,,,,,,
22,recettepju,AuteurB,Laurent,,,male,,,1970-11-20,1970,11,20,,,31555,99100,,,,,,,,,
